,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,card,extended_entities,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,label
0,1.20675160839209E+018,Tue Dec 17 01:42:58 +0000 2019,1.20675160839209E+018,1.20675160839209E+018,#වේසියකට_පෙම්_කළෙමි,False,"[0, 40]","{'hashtags': [{'text': 'අදටඅවුරුද්දයි', 'indices': [0, 14]}, {'text': 'වේසියකට_පෙම්_කළෙමි', 'indices': [21, 40]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.11702161061831E+018,1.11702161061831E+018,,,,,False,0,45,9,3,1.20675160839209E+018,1.20675160839209E+018,False,False,und,,,,,,,,,,1
1,1.23215157790715E+018,Tue Feb 25 03:53:23 +0000 2020,1.23215157790715E+018,1.23215157790715E+018,@romi_himansh @daughterislife තමන් ආදරේ කරපු කෙල්ලට බඩ්ඩ/ වේසි කියනව කියන්නෙ එතන උගේ ෂෝට් එකක් තියෙන්න බැරිද? කොච්චර වැරදි තිබ්බත් කොච්චර වටේ ගියත් තමන් කාලයක් ලවු කරපු කෙල්ලනෙ,False,"[30, 176]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'romi_himansh', 'name': 'Hiruna ❤️👀', 'id': 905465413919686656, 'id_str': '905465413919686656', 'indices': [0, 13]}, {'screen_name': 'daughterislife', 'name': 'මාෂි 🎀🇱🇰', 'id': 2380919498, 'id_str': '2380919498', 'indices': [14, 29]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.23213323740687E+018,1.23213323740687E+018,9.05465413919687E+017,9.05465413919687E+017,romi_himansh,2991695292,2991695292,,,,,False,0,1,1,0,1.23213111924985E+018,1.23213111924985E+018,False,False,si,,,,,,,,,,0
2,7.83059600706646E+017,Mon Oct 03 21:42:12 +0000 2016,7.83059600706646E+017,7.83059600706646E+017,චන්ද්‍රිකා බලු වේසි තම වයිරී ගූ හිල නැවත අරී https://t.co/iEbYKlFPAK via @YouTube,False,"[0, 81]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [73, 81]}], 'urls': [{'url': 'https://t.co/iEbYKlFPAK', 'expanded_url': 'https://youtu.be/ZpVt9nH7c0k', 'display_url': 'youtu.be/ZpVt9nH7c0k', 'indices': [45, 68]}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,3647359460,3647359460,,,,,False,0,0,0,0,7.83059600706646E+017,7.83059600706646E+017,False,False,si,,False,True,,,,,,,1
3,1.26842631635888E+018,Thu Jun 04 06:16:14 +0000 2020,1.26842631635888E+018,1.26842631635888E+018,ඇස් වහගෙන ටයිටැනික් බලපු එකී සප්ත කන්‍යාව වෙලා සනී ලියෝන් ගැන එළි පිට කතා කරපු එකී වේසි වුණේ කොහොමද..,False,"[0, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,450601726,450601726,,,,,False,0,3,0,0,1.26842631635888E+018,1.26842631635888E+018,False,False,si,,,,,,,,,,1
5,1.15721008793865E+018,Fri Aug 02 08:42:39 +0000 2019,1.15721008793865E+018,1.15721008793865E+018,@gajaman_nona ගොං වේසියෙ ඔය සංශෝධනය ආවෙ 1990 ගණං වල. දන්න දෙයක් කියවපන් පට්ට වේසි,False,"[14, 81]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gajaman_nona', 'name': 'ගජමන් නෝනා', 'id': 70704329, 'id_str': '70704329', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.15569269873449E+018,1.15569269873449E+018,70704329,70704329,gajaman_nona,1.15719906513993E+018,1.15719906513993E+018,,,,,False,0,0,0,0,1.15569269873449E+018,1.15569269873449E+018,False,False,si,,,,,,,,,,1
6,1.26401873904704E+018,Sat May 23 02:22:06 +0000 2020,1.26401873904704E+018,1.26401873904704E+018,"අපේ සාහිත්‍යයේ එන හැටිය ට වෙසඟන ගේ පියයුරු වල හැපී එන සුළඟ ද සුභ නිමිත්තකි. වෙසඟන ගැන එහෙම කිව්වත් වේසි ගැන තත්ත්වය මෙයට වඩා වෙනස් ය. 

“ලෝකාස්වාදිකාවෝ වනාහි…,”
https://t.co/DI0hLSntI7",False,"[0, 184]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DI0hLSntI7', 'expanded_url': 'https://link.medium.com/eSOYutr7H6', 'display_url': 'link.medium.com/eSOYutr7H6', 'indices': [161, 184]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,36591833,36591833,,,,,False,8,34,0,0,1.26401873904704E+018,1.26401873904704E+018,False,False,si,,False,True,"{'name': 'summary', 'url': 'https://t.co/DI0hLSntI7', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'link.medium.com', 'scribe_key': 'vanity_url'}, 'app_is_free': {'type': 'STRING', 'string_value': 'true'}, 'app_price_currency': {'type': 'STRING', 'string_value': 'USD'}, 'app_price_amount': {'type': 'STRING', 'string_value': '0.0'}, 'domain': {'type': 'STRING', 'string_value': 'link.medium.com'}, 'app_num_ratings': {'type': 'STRING', 'string_value': '88,042'}, 'app_star_rating': {'type': 'STRING', 'string_value': '4.8224'}, 'app_name': {'type': 'STRING', 'string_value': 'Medium'}, 'title': {'type': 'STRING', 'string_value': 'Lishan Puwakovita – Medium'}, 'description': {'type': 'STRING', 'string_value': 'Read writing from Lishan Puwakovita on Medium. Designer | Avid traveler | Occasional writer. Every day, Lishan Puwakovita and thousands of other voices read, write, and share important stories on...'}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/DI0hLSntI7', 'scribe_key': 'card_url'}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",,,,,,0
7,1.29520894220572E+018,Mon Aug 17 04:00:50 +0000 2020,1.29520894220572E+018,1.29520894220572E+018,@maashi_piries බෞකන වේසි😂🖐️💔,False,"[15, 28]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maashi_piries', 'name': 'දං චූටී maashi ©️ 😜', 'id': 1129431111719825410, 'id_str': '1129431111719825410', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.29448379392385E+018,1.29448379392385E+018,1.12943111171983E+018,1.12943111171983E+018,maashi_piries,1.285169374933E+018,1.285169374933E+018,,,,,False,0,0,0,0,1.29448379392385E+018,1.29448379392385E+018,False,False,si,,,,,,,,,,1
8,1.36013643170476E+018,Fri Feb 12 07:59:30 +0000 2021,1.36013643170476E+018,1.36013643170476E+018,@imNaviya ඒ ආක්ශා හුත්තෝ,False,"[10, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'imNaviya', 'name': '• NaVe∃n MaYanThA🇱🇰 🇬🇧', 'id': 3089536357, 'id_str': '3089536357', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.36013234516089E+018,1.36013234516089E+018,3089536357,3089536357,imNaviya,7.07102986049348E+017,7.07102986049348E+017,,,,,False,0,1,1,0,1.35988273934895E+018,1.35988273934895E+018,False,False,si,,,,,,,,,,1
9,4.14575730714886E+017,Sun Dec 22 01:58:51 +0000 2013,4.14575730714886E+017,4.14575730714886E+017,"W3Lanka: ගීතා කුමාරසිංහ, මේජර් අජිත්, වේසි, පොන්නයා හා ස්ත්‍රීවාදිනිය... http://t.co/CYKIRh9yXZ",False,"[0, 95]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/CYKIRh9yXZ', 'expanded_url': 'http://www.w3lanka.com/2013/12/blog-post_22.html?spref=tw', 'display_url': 'w3lanka.com/2013/12/blog-p…', 'indices': [73, 95]}]}","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",,,,,,780211700,780211700,,,,,False,0,0,0,0,4.14575730714886E+017,4.14575730714886E+017,False,False,si,,False,True,,,,,,,1
10,1.27400770099773E+018,Fri Jun 19 15:54:40 +0000 2020,1.27400770099773E+018,1.27400770099773E+018,"@samith78 පෙන්න වේසි පුතෝ තො ඔයා සොදා සලු පිලි අන්දන්න හදන පෙන්න රනිල් රටටම කෑවා. තෝ ඌට දාව ඉපදුනාට, රනිල් කියන්නේ රටත් ජාතියක් අගමත් තම පක්ෂයත් විනාශ කල පෙන්නයෙක්. https://t.co/SZ2EWL49Gd",False,"[10, 164]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samith78', 'name': '𝑆𝑎𝑚𝑖𝑡ℎ 𝐺𝑢𝑛𝑎𝑡ℎ𝑖𝑙𝑎𝑘𝑒', 'id': 1079187135075209217, 'id_str': '1079187135075209217', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 1274007694706266114, 'id_str': '1274007694706266114', 'indices': [165, 188], 'media_url': 'http://pbs.twimg.com/media/Ea4vP5QU0AIt707.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ea4vP5QU0AIt707.jpg', 'url': 'https://t.co/SZ2EWL49Gd', 'display_url': 'pic.twitter.com/SZ2EWL49Gd', 'expanded_url': 'https://twitter.com/AjithTennakoon/status/1274007700997734400/photo/1', 'type': 'photo', 'original_info': {'width': 567, 'height': 344, 'focus_rects': [{'x': 0, 'y': 26, 'h': 318, 'w': 567}, {'x': 223, 'y': 0, 'h': 344, 'w': 344}, {'x': 265, 'y': 0, 'h': 344, 'w': 302}, {'x': 353, 'y': 0, 'h': 344, 'w': 172}, {'x': 0, 'y': 0, 'h': 344, 'w': 567}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 567, 'h': 344, 'resize': 'fit'}, 'large': {'w': 567, 'h': 344, 'resize': 'fit'}, 'medium': {'w': 567, 'h': 344, 'resize': 'fit'}}, 'features': {'small': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}, 'orig': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}, 'large': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}, 'medium': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.27394728397383E+018,1.27394728397383E+018,1.07918713507521E+018,1.07918713507521E+018,samith78,315561626,315561626,,,,,False,0,0,1,0,1.26436168697618E+018,1.26436168697618E+018,False,False,si,,True,True,,"{'media': [{'id': 1274007694706266114, 'id_str': '1274007694706266114', 'indices': [165, 188], 'media_url': 'http://pbs.twimg.com/media/Ea4vP5QU0AIt707.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ea4vP5QU0AIt707.jpg', 'url': 'https://t.co/SZ2EWL49Gd', 'display_url': 'pic.twitter.com/SZ2EWL49Gd', 'expanded_url': 'https://twitter.com/AjithTennakoon/status/1274007700997734400/photo/1', 'type': 'photo', 'original_info': {'width': 567, 'height': 344, 'focus_rects': [{'x': 0, 'y': 26, 'h': 318, 'w': 567}, {'x': 223, 'y': 0, 'h': 344, 'w': 344}, {'x': 265, 'y': 0, 'h': 344, 'w': 302}, {'x': 353, 'y': 0, 'h': 344, 'w': 172}, {'x': 0, 'y': 0, 'h': 344, 'w': 567}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 567, 'h': 344, 'resize': 'fit'}, 'large': {'w': 567, 'h': 344, 'resize': 'fit'}, 'medium': {'w': 567, 'h': 344, 'resize': 'fit'}}, 'features': {'small': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}, 'orig': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}, 'large': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}, 'medium': {'faces': [{'x': 48, 'y': 64, 'h': 135, 'w': 135}]}}, 'media_key': '3_1274007694706266114', 'ext_media_color': {'palette': [{'rgb': {'red': 247, 'green': 250, 'blue': 244}, 'percentage': 45.5}, {'rgb': {'red': 102, 'green': 142, 'blue': 81}, 'percentage': 22.61}, {'rgb': {'red': 22, 'green': 29, 'blue': 18}, 'percentage': 8.13}, {'rgb': {'red': 191, 'green': 209, 'blue': 149}, 'percentage': 6.14}, {'rgb': {'red': 50, 'green': 85, 'blue': 35}, 'percentage': 4.43}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,,,,1
